position,DM
minutes,833.0
passes_completed,-0.3551
passes,-0.534
dribbles_completed,-0.766
dribbles,-0.828
passes_completed_short,-0.6222
passes_short,-0.6846
passes_completed_medium,-0.1508
passes_medium,-0.1462
passes_completed_long,0.0628
passes_long,-0.4072
passes_total_distance,-0.1984
passes_free_kicks,-0.3846
through_balls,-0.6322
passes_pressure,0.0069
passes_switches,-0.7004
crosses,-0.6013
corner_kicks,-0.5567
passes_intercepted,-0.8447
passes_blocked,-0.7613
dispossessed,-0.4367
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.1948
shots_on_target,0.0304
sca,-0.1889
gca,-1.0103
xg,-0.6582
crosses_into_penalty_area,-0.0864
passes_into_final_third,0.6251
passes_into_penalty_area,-0.8011
progressive_passes,-0.1194
carry_progressive_distance,-1.0098
assisted_shots,-0.1542
fouled,-0.7898
pens_won,-0.2937
tackles,0.5886
interceptions,0.6217
blocks,0.0267
tackles_won,0.8089
dribble_tackles,0.565
dribbles_vs,1.4574
pressures,0.494
pressure_regains,0.4388
clearances,0.0905
errors,-0.376
aerials_won,0.8203
aerials_lost,0.2438
ball_recoveries,1.3712
pens_conceded,-0.3183
fouls,-0.295
cards_yellow_red,-0.1907
