position,CM
minutes,2.4555
passes_completed,2.5037
passes,2.3465
dribbles_completed,1.6053
dribbles,1.1163
passes_completed_short,2.6242
passes_short,2.6268
passes_completed_medium,2.2327
passes_medium,2.2125
passes_completed_long,1.8308
passes_long,1.2262
passes_total_distance,2.2451
passes_free_kicks,1.21
through_balls,0.781
passes_pressure,3.07
passes_switches,1.9559
crosses,-0.0785
corner_kicks,-0.3242
passes_intercepted,2.1257
passes_blocked,0.8725
dispossessed,1.5081
goals,0.5824
assists,0.8072
pens_made,-0.2258
pens_att,-0.2444
shots_total,1.0639
shots_on_target,0.5051
sca,1.9509
gca,1.2633
xg,0.1279
crosses_into_penalty_area,0.1933
passes_into_final_third,2.3085
passes_into_penalty_area,1.3003
progressive_passes,2.414
carry_progressive_distance,1.4115
assisted_shots,1.3909
fouled,1.261
pens_won,-0.3681
tackles,3.7991
interceptions,4.1834
blocks,4.1493
tackles_won,4.1057
dribble_tackles,3.3698
dribbles_vs,3.8046
pressures,4.0037
pressure_regains,4.0783
clearances,0.8578
errors,1.0334
aerials_won,1.0805
aerials_lost,0.6943
ball_recoveries,3.5232
pens_conceded,-0.4889
fouls,2.1459
cards_yellow_red,-0.3235
