position,LW
minutes,414.0
passes_completed,-0.676
passes,-0.2748
dribbles_completed,4.9875
dribbles,4.328
passes_completed_short,-0.6109
passes_short,-0.1851
passes_completed_medium,-0.4659
passes_medium,-0.239
passes_completed_long,-0.5948
passes_long,-0.2328
passes_total_distance,-0.6735
passes_free_kicks,-0.509
through_balls,0.9085
passes_pressure,-0.8374
passes_switches,0.4681
crosses,2.9881
corner_kicks,1.9196
passes_intercepted,1.1999
passes_blocked,3.2121
dispossessed,0.7993
goals,-0.724
assists,0.9718
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.1879
shots_on_target,-0.4961
sca,1.1423
gca,1.8912
xg,-0.7349
crosses_into_penalty_area,2.994
passes_into_final_third,-0.5606
passes_into_penalty_area,1.412
progressive_passes,-0.5258
carry_progressive_distance,3.1101
assisted_shots,2.0389
fouled,2.1538
pens_won,-0.2937
tackles,-0.1679
interceptions,0.6354
blocks,0.3828
tackles_won,-0.3157
dribble_tackles,-0.8622
dribbles_vs,-0.1834
pressures,-0.1209
pressure_regains,-0.6114
clearances,-0.8846
errors,-0.376
aerials_won,-1.1372
aerials_lost,-1.3278
ball_recoveries,-1.5321
pens_conceded,-0.3183
fouls,0.4198
cards_yellow_red,-0.1907
