position,CB
passes_completed,1.3065
passes,1.0759
dribbles_completed,-1.0931
dribbles,-1.0457
passes_completed_short,0.6217
passes_short,0.459
passes_completed_medium,1.7264
passes_medium,1.6258
passes_completed_long,0.4231
passes_long,0.0609
passes_total_distance,1.2198
passes_free_kicks,0.0494
through_balls,-0.2182
passes_pressure,0.3993
passes_switches,-0.5418
crosses,-0.808
corner_kicks,-0.4808
passes_intercepted,-0.4243
passes_blocked,-0.5668
dispossessed,-1.0222
goals,-0.2313
assists,-0.3024
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.6693
shots_on_target,-0.518
sca,-0.844
gca,-0.0678
xg,-0.3227
crosses_into_penalty_area,-0.8365
passes_into_final_third,1.2054
passes_into_penalty_area,-0.6817
progressive_passes,1.1957
carry_progressive_distance,0.696
assisted_shots,-0.9614
fouled,-0.3375
pens_won,-0.3695
tackles,-0.1379
interceptions,1.2451
blocks,1.0732
tackles_won,-0.3016
dribble_tackles,-0.3136
dribbles_vs,-0.5566
pressures,-0.895
pressure_regains,-0.7191
clearances,2.0173
errors,0.6702
aerials_won,1.6286
aerials_lost,-0.1296
ball_recoveries,0.7736
pens_conceded,1.1182
fouls,-0.533
cards_yellow_red,-0.2618
