position,FW
minutes,-0.3864
passes_completed,-1.2595
passes,-1.4319
dribbles_completed,0.0691
dribbles,-0.399
passes_completed_short,-0.8443
passes_short,-0.7162
passes_completed_medium,-1.2369
passes_medium,-1.4148
passes_completed_long,-1.1727
passes_long,-1.4393
passes_total_distance,-1.3169
passes_free_kicks,-0.8057
through_balls,-0.632
passes_pressure,-1.5011
passes_switches,-0.8062
crosses,-0.9091
corner_kicks,-0.5565
passes_intercepted,0.2877
passes_blocked,-1.1967
dispossessed,0.7601
goals,0.3251
assists,-0.0374
pens_made,-0.2418
pens_att,-0.271
shots_total,0.5006
shots_on_target,0.0928
sca,-0.5648
gca,-0.1958
xg,0.9499
crosses_into_penalty_area,-0.8504
passes_into_final_third,-1.2895
passes_into_penalty_area,-0.7351
progressive_passes,-1.354
carry_progressive_distance,-1.5751
assisted_shots,-0.2124
fouled,-0.4287
pens_won,-0.2935
tackles,-1.5352
interceptions,-1.4456
blocks,-1.631
tackles_won,-1.3556
dribble_tackles,-1.4373
dribbles_vs,-1.7566
pressures,0.602
pressure_regains,0.1695
clearances,-0.7396
errors,-0.3758
aerials_won,0.3367
aerials_lost,1.4296
ball_recoveries,-1.8893
pens_conceded,-0.3182
fouls,2.994
cards_yellow_red,-0.1906
