position,CM
passes_completed,1.6508
passes,1.5493
dribbles_completed,-0.3797
dribbles,-0.5251
passes_completed_short,0.9557
passes_short,0.9113
passes_completed_medium,1.723
passes_medium,1.6908
passes_completed_long,1.1954
passes_long,0.5893
passes_total_distance,1.6722
passes_free_kicks,0.0424
through_balls,0.8929
passes_pressure,2.0694
passes_switches,0.8287
crosses,-0.7344
corner_kicks,-0.4808
passes_intercepted,0.2307
passes_blocked,-0.6064
dispossessed,-0.6594
goals,0.0936
assists,0.2477
pens_made,1.3176
pens_att,1.037
shots_total,-0.5343
shots_on_target,-0.5593
sca,0.1595
gca,0.6821
xg,-0.249
crosses_into_penalty_area,-0.5781
passes_into_final_third,2.3244
passes_into_penalty_area,0.4081
progressive_passes,1.3731
carry_progressive_distance,0.4396
assisted_shots,0.0668
fouled,0.4493
pens_won,0.0364
tackles,1.5394
interceptions,0.6694
blocks,0.203
tackles_won,1.5396
dribble_tackles,1.0861
dribbles_vs,1.3545
pressures,0.3886
pressure_regains,0.7268
clearances,-0.2536
errors,-0.5457
aerials_won,0.2014
aerials_lost,-0.312
ball_recoveries,1.8909
pens_conceded,-0.4415
fouls,0.3601
cards_yellow_red,-0.2618
