position,RW
minutes,-0.1332
passes_completed,-0.0929
passes,0.1715
dribbles_completed,3.0261
dribbles,3.4542
passes_completed_short,0.235
passes_short,0.5809
passes_completed_medium,-0.3055
passes_medium,-0.1668
passes_completed_long,-0.068
passes_long,-0.112
passes_total_distance,-0.1526
passes_free_kicks,-0.3363
through_balls,0.2828
passes_pressure,-0.0597
passes_switches,1.0253
crosses,1.3664
corner_kicks,1.7103
passes_intercepted,1.1686
passes_blocked,2.2805
dispossessed,2.0915
goals,0.0161
assists,0.7815
pens_made,1.2931
pens_att,2.2947
shots_total,1.2547
shots_on_target,0.7117
sca,2.2998
gca,1.5742
xg,1.1495
crosses_into_penalty_area,-0.1656
passes_into_final_third,-0.3996
passes_into_penalty_area,1.2159
progressive_passes,0.1761
carry_progressive_distance,0.9448
assisted_shots,1.4784
fouled,0.6026
pens_won,-0.2935
tackles,-0.5933
interceptions,0.1175
blocks,-0.4226
tackles_won,-0.5941
dribble_tackles,-0.9245
dribbles_vs,0.7599
pressures,0.2069
pressure_regains,-0.3092
clearances,-1.0151
errors,-0.3758
aerials_won,-0.812
aerials_lost,0.215
ball_recoveries,-0.0415
pens_conceded,-0.3182
fouls,-0.7897
cards_yellow_red,2.5366
