position,FW
passes_completed,-1.0569
passes,-1.2744
dribbles_completed,0.1626
dribbles,-0.047
passes_completed_short,-0.5444
passes_short,-0.5195
passes_completed_medium,-1.2474
passes_medium,-1.3528
passes_completed_long,-1.176
passes_long,-1.4826
passes_total_distance,-1.2723
passes_free_kicks,-0.9563
through_balls,-0.4356
passes_pressure,-0.4909
passes_switches,-1.1865
crosses,-0.9756
corner_kicks,-0.5565
passes_intercepted,-0.3635
passes_blocked,-1.2175
dispossessed,0.4667
goals,1.9755
assists,0.3396
pens_made,0.417
pens_att,0.2796
shots_total,1.0344
shots_on_target,1.2802
sca,0.4564
gca,1.3317
xg,2.0151
crosses_into_penalty_area,-0.8504
passes_into_final_third,-0.9637
passes_into_penalty_area,-0.311
progressive_passes,-1.0101
carry_progressive_distance,-1.1418
assisted_shots,0.4749
fouled,0.1693
pens_won,2.3341
tackles,-0.1978
interceptions,-1.1735
blocks,-1.7405
tackles_won,0.1505
dribble_tackles,-1.0705
dribbles_vs,-1.0924
pressures,0.1799
pressure_regains,0.1251
clearances,-0.8483
errors,-0.3758
aerials_won,0.6199
aerials_lost,1.9252
ball_recoveries,-1.6542
pens_conceded,-0.3182
fouls,1.0965
cards_yellow_red,-0.1906
