position,CM
minutes,1647.0
passes_completed,1.0029
passes,0.9726
dribbles_completed,-0.2787
dribbles,-0.4158
passes_completed_short,0.0904
passes_short,0.0919
passes_completed_medium,1.3065
passes_medium,1.2681
passes_completed_long,1.3243
passes_long,1.0402
passes_total_distance,1.2231
passes_free_kicks,1.4281
through_balls,0.1424
passes_pressure,1.8926
passes_switches,0.3027
crosses,-0.6852
corner_kicks,-0.5048
passes_intercepted,-0.5768
passes_blocked,0.2884
dispossessed,-0.1781
goals,-0.4108
assists,0.5432
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.0662
shots_on_target,-0.3592
sca,-0.0388
gca,0.4483
xg,-0.3022
crosses_into_penalty_area,-0.0776
passes_into_final_third,1.0196
passes_into_penalty_area,0.4013
progressive_passes,0.5685
carry_progressive_distance,0.4879
assisted_shots,0.174
fouled,0.6975
pens_won,-0.2937
tackles,0.8122
interceptions,2.019
blocks,0.8273
tackles_won,0.7438
dribble_tackles,0.154
dribbles_vs,0.2119
pressures,0.7481
pressure_regains,1.0153
clearances,-0.127
errors,-0.376
aerials_won,0.3479
aerials_lost,-0.1355
ball_recoveries,2.4958
pens_conceded,1.1808
fouls,-0.0093
cards_yellow_red,-0.1907
