position,LM
passes_completed,1.0884
passes,1.1354
dribbles_completed,3.0431
dribbles,2.4751
passes_completed_short,1.9727
passes_short,2.1743
passes_completed_medium,0.2656
passes_medium,0.2951
passes_completed_long,0.237
passes_long,-0.2742
passes_total_distance,0.642
passes_free_kicks,-0.7802
through_balls,0.8182
passes_pressure,0.3984
passes_switches,0.5783
crosses,0.2146
corner_kicks,0.0262
passes_intercepted,1.98
passes_blocked,3.2128
dispossessed,1.8276
goals,2.7946
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,0.3935
shots_on_target,0.9777
sca,2.9683
gca,2.6313
xg,1.3144
crosses_into_penalty_area,0.5971
passes_into_final_third,-0.3718
passes_into_penalty_area,2.5326
progressive_passes,0.8276
carry_progressive_distance,3.0139
assisted_shots,0.9559
fouled,2.4829
pens_won,4.5586
tackles,-0.9996
interceptions,-1.209
blocks,-1.0636
tackles_won,-0.4043
dribble_tackles,-0.8954
dribbles_vs,-1.0095
pressures,-0.0669
pressure_regains,0.4643
clearances,-1.0151
errors,-0.3758
aerials_won,-1.1368
aerials_lost,-0.9021
ball_recoveries,0.0247
pens_conceded,-0.3182
fouls,-0.7185
cards_yellow_red,-0.1906
