position,LM
minutes,-0.7253
passes_completed,0.0817
passes,0.3613
dribbles_completed,-0.3273
dribbles,-0.5641
passes_completed_short,-0.0852
passes_short,0.1444
passes_completed_medium,0.2075
passes_medium,0.302
passes_completed_long,-0.038
passes_long,0.222
passes_total_distance,0.0372
passes_free_kicks,0.447
through_balls,-0.632
passes_pressure,0.3602
passes_switches,0.3834
crosses,1.6021
corner_kicks,1.2158
passes_intercepted,0.0881
passes_blocked,1.1635
dispossessed,1.1681
goals,-0.7238
assists,0.8924
pens_made,-0.2418
pens_att,-0.271
shots_total,0.1983
shots_on_target,-0.0115
sca,1.5185
gca,0.8359
xg,-0.2946
crosses_into_penalty_area,1.3509
passes_into_final_third,-0.3544
passes_into_penalty_area,1.6124
progressive_passes,0.4686
carry_progressive_distance,0.5419
assisted_shots,2.1802
fouled,0.2973
pens_won,-0.2935
tackles,-0.2496
interceptions,1.3995
blocks,0.2586
tackles_won,-0.3845
dribble_tackles,-0.8879
dribbles_vs,-0.0206
pressures,-0.4565
pressure_regains,-0.4423
clearances,-1.0151
errors,-0.3758
aerials_won,-1.1368
aerials_lost,-0.0341
ball_recoveries,-0.7649
pens_conceded,-0.3182
fouls,-0.7001
cards_yellow_red,-0.1906
