position,RB
minutes,719.0
passes_completed,-0.4046
passes,-0.1135
dribbles_completed,-0.5525
dribbles,-0.6736
passes_completed_short,-0.629
passes_short,-0.4559
passes_completed_medium,-0.1148
passes_medium,0.229
passes_completed_long,-0.226
passes_long,-0.0216
passes_total_distance,-0.3132
passes_free_kicks,-0.7266
through_balls,-0.6322
passes_pressure,-0.7023
passes_switches,-1.1266
crosses,0.4127
corner_kicks,-0.5567
passes_intercepted,1.0765
passes_blocked,0.8755
dispossessed,-0.8483
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.9392
shots_on_target,-0.4153
sca,-0.8663
gca,-0.4534
xg,-0.8012
crosses_into_penalty_area,0.4775
passes_into_final_third,0.1381
passes_into_penalty_area,-0.5249
progressive_passes,-0.4539
carry_progressive_distance,-0.8563
assisted_shots,-0.4967
fouled,-1.3276
pens_won,-0.2937
tackles,0.6979
interceptions,0.1947
blocks,0.4038
tackles_won,-0.0852
dribble_tackles,0.2196
dribbles_vs,-0.5009
pressures,-0.7239
pressure_regains,-0.1831
clearances,0.4921
errors,2.2495
aerials_won,0.7527
aerials_lost,-0.6775
ball_recoveries,1.4648
pens_conceded,-0.3183
fouls,-0.2203
cards_yellow_red,-0.1907
