position,AM
minutes,657.0
passes_completed,-0.7638
passes,-0.7302
dribbles_completed,0.5695
dribbles,1.1452
passes_completed_short,-0.5479
passes_short,-0.4637
passes_completed_medium,-0.6259
passes_medium,-0.4848
passes_completed_long,-0.9432
passes_long,-1.1738
passes_total_distance,-0.8708
passes_free_kicks,-1.022
through_balls,0.3386
passes_pressure,0.6125
passes_switches,-0.5144
crosses,0.4459
corner_kicks,-0.5567
passes_intercepted,0.0689
passes_blocked,0.9342
dispossessed,0.7555
goals,1.6314
assists,0.3271
pens_made,-0.2419
pens_att,-0.2711
shots_total,0.979
shots_on_target,0.9858
sca,-0.5675
gca,-0.4009
xg,0.4868
crosses_into_penalty_area,-0.3662
passes_into_final_third,-0.703
passes_into_penalty_area,-0.0225
progressive_passes,-0.7415
carry_progressive_distance,0.7287
assisted_shots,-0.0184
fouled,-0.9254
pens_won,-0.2937
tackles,-0.672
interceptions,-1.3511
blocks,-1.9207
tackles_won,-0.399
dribble_tackles,-0.3496
dribbles_vs,-0.362
pressures,1.1437
pressure_regains,0.6124
clearances,-0.2731
errors,2.4973
aerials_won,0.2416
aerials_lost,1.8036
ball_recoveries,-0.8119
pens_conceded,-0.3183
fouls,-0.7137
cards_yellow_red,-0.1907
