position,DM
minutes,-0.937
passes_completed,-0.8085
passes,-0.8416
dribbles_completed,-0.5599
dribbles,-0.5436
passes_completed_short,-0.7717
passes_short,-0.784
passes_completed_medium,-0.7574
passes_medium,-0.7822
passes_completed_long,-0.7253
passes_long,-0.7188
passes_total_distance,-0.7971
passes_free_kicks,-0.6158
through_balls,-0.5
passes_pressure,-0.8577
passes_switches,-0.6711
crosses,-0.5884
corner_kicks,-0.2751
passes_intercepted,-0.7737
passes_blocked,-0.7721
dispossessed,-0.6552
goals,-0.3403
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.4847
shots_on_target,-0.4229
sca,-0.5513
gca,-0.525
xg,-0.3351
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.6605
passes_into_penalty_area,-0.6203
progressive_passes,-0.7201
carry_progressive_distance,-0.7709
assisted_shots,-0.5921
fouled,-0.6437
pens_won,-0.3681
tackles,-0.6441
interceptions,-0.7317
blocks,-0.7439
tackles_won,-0.69
dribble_tackles,-0.6943
dribbles_vs,-0.6581
pressures,-0.6863
pressure_regains,-0.7667
clearances,-0.6104
errors,-0.5331
aerials_won,-0.6217
aerials_lost,-0.7195
ball_recoveries,-0.8514
pens_conceded,-0.4889
fouls,-0.7302
cards_yellow_red,-0.3235
