position,CM
passes_completed,0.2388
passes,-0.0309
dribbles_completed,0.1367
dribbles,-0.0894
passes_completed_short,0.1153
passes_short,-0.0192
passes_completed_medium,0.2514
passes_medium,0.1434
passes_completed_long,0.1981
passes_long,-0.302
passes_total_distance,0.198
passes_free_kicks,-0.1429
through_balls,-0.7252
passes_pressure,0.5584
passes_switches,-0.6018
crosses,-0.8797
corner_kicks,-0.4808
passes_intercepted,-0.9827
passes_blocked,-0.3065
dispossessed,-0.0842
goals,-0.7415
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.842
shots_on_target,-0.5981
sca,-0.5762
gca,-0.2376
xg,-0.5943
crosses_into_penalty_area,-0.6329
passes_into_final_third,0.1435
passes_into_penalty_area,-0.6992
progressive_passes,-0.3245
carry_progressive_distance,-0.2446
assisted_shots,-0.6585
fouled,0.6736
pens_won,-0.3695
tackles,1.419
interceptions,2.0323
blocks,0.7144
tackles_won,1.9287
dribble_tackles,0.0686
dribbles_vs,0.1477
pressures,0.9453
pressure_regains,1.1432
clearances,-0.2455
errors,-0.5457
aerials_won,-0.4578
aerials_lost,0.1775
ball_recoveries,0.0341
pens_conceded,-0.4415
fouls,0.3454
cards_yellow_red,-0.2618
