position,CM
passes_completed,-0.1
passes,-0.2369
dribbles_completed,-0.9057
dribbles,-0.9714
passes_completed_short,-0.2961
passes_short,-0.366
passes_completed_medium,0.0425
passes_medium,-0.0941
passes_completed_long,0.1003
passes_long,0.0264
passes_total_distance,0.0004
passes_free_kicks,-0.2504
through_balls,-0.632
passes_pressure,-0.5031
passes_switches,-0.1339
crosses,-0.6323
corner_kicks,-0.5151
passes_intercepted,-0.7333
passes_blocked,-0.9739
dispossessed,-0.7732
goals,-0.474
assists,-0.4217
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.1387
shots_on_target,-0.6013
sca,-0.4409
gca,-0.0406
xg,-0.6403
crosses_into_penalty_area,-0.2339
passes_into_final_third,0.5109
passes_into_penalty_area,-0.0126
progressive_passes,0.2327
carry_progressive_distance,-1.0085
assisted_shots,-0.8318
fouled,-0.7229
pens_won,-0.2935
tackles,0.7138
interceptions,0.0944
blocks,0.5269
tackles_won,0.9839
dribble_tackles,0.2937
dribbles_vs,0.8461
pressures,2.214
pressure_regains,1.7402
clearances,-0.674
errors,-0.3758
aerials_won,-0.8736
aerials_lost,-0.784
ball_recoveries,0.6623
pens_conceded,-0.3182
fouls,-0.4913
cards_yellow_red,-0.1906
