position,RW
minutes,-0.549
passes_completed,-0.4245
passes,-0.4668
dribbles_completed,0.412
dribbles,1.02
passes_completed_short,0.2147
passes_short,0.1649
passes_completed_medium,-0.5625
passes_medium,-0.5373
passes_completed_long,-0.904
passes_long,-1.0082
passes_total_distance,-0.6879
passes_free_kicks,-0.7266
through_balls,0.2542
passes_pressure,0.028
passes_switches,-0.7245
crosses,1.1335
corner_kicks,0.2744
passes_intercepted,0.1948
passes_blocked,1.2383
dispossessed,3.6801
goals,-0.0071
assists,0.2316
pens_made,-0.2418
pens_att,-0.271
shots_total,0.2494
shots_on_target,0.1975
sca,0.6545
gca,0.1027
xg,0.367
crosses_into_penalty_area,0.0342
passes_into_final_third,-0.8595
passes_into_penalty_area,1.2348
progressive_passes,-0.3746
carry_progressive_distance,1.425
assisted_shots,0.5804
fouled,0.0247
pens_won,-0.2935
tackles,-1.2283
interceptions,-0.8525
blocks,-0.7777
tackles_won,-0.9609
dribble_tackles,-0.4439
dribbles_vs,-0.5016
pressures,1.3798
pressure_regains,-0.1847
clearances,-0.7892
errors,-0.3758
aerials_won,-0.7592
aerials_lost,-0.0281
ball_recoveries,-0.5423
pens_conceded,-0.3182
fouls,0.3861
cards_yellow_red,-0.1906
