position,CM
minutes,-1.0233
passes_completed,-0.8498
passes,-0.8931
dribbles_completed,-0.6606
dribbles,-0.635
passes_completed_short,-0.8256
passes_short,-0.8466
passes_completed_medium,-0.7975
passes_medium,-0.8324
passes_completed_long,-0.7253
passes_long,-0.7382
passes_total_distance,-0.8263
passes_free_kicks,-0.6158
through_balls,-0.5
passes_pressure,-0.919
passes_switches,-0.6894
crosses,-0.5701
corner_kicks,-0.3242
passes_intercepted,-0.8531
passes_blocked,-0.7471
dispossessed,-0.7032
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6219
shots_on_target,-0.5775
sca,-0.7025
gca,-0.6302
xg,-0.5088
crosses_into_penalty_area,-0.4603
passes_into_final_third,-0.7256
passes_into_penalty_area,-0.6203
progressive_passes,-0.772
carry_progressive_distance,-0.8551
assisted_shots,-0.6472
fouled,-0.8215
pens_won,-0.3681
tackles,-0.8323
interceptions,-0.8029
blocks,-0.8715
tackles_won,-0.8076
dribble_tackles,-0.8012
dribbles_vs,-0.8488
pressures,-0.8808
pressure_regains,-0.8773
clearances,-0.6002
errors,-0.5331
aerials_won,-0.6587
aerials_lost,-0.761
ball_recoveries,-0.9037
pens_conceded,-0.4889
fouls,-0.8108
cards_yellow_red,-0.3235
