position,CB
minutes,558.0
passes_completed,-0.1961
passes,-0.47
dribbles_completed,-1.2424
dribbles,-1.2671
passes_completed_short,-1.3482
passes_short,-1.4972
passes_completed_medium,0.4627
passes_medium,0.3515
passes_completed_long,0.9093
passes_long,0.2558
passes_total_distance,0.2857
passes_free_kicks,-0.2608
through_balls,-0.6322
passes_pressure,-1.6257
passes_switches,-0.7037
crosses,-1.1359
corner_kicks,-0.5567
passes_intercepted,-0.7235
passes_blocked,-1.159
dispossessed,-1.0499
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-1.3358
shots_on_target,-1.029
sca,-1.5476
gca,-1.0103
xg,-0.8911
crosses_into_penalty_area,-0.8508
passes_into_final_third,-0.8357
passes_into_penalty_area,-1.308
progressive_passes,-1.1282
carry_progressive_distance,-1.3026
assisted_shots,-1.3957
fouled,-1.666
pens_won,-0.2937
tackles,0.1309
interceptions,-0.6258
blocks,-0.8299
tackles_won,-0.144
dribble_tackles,-1.0107
dribbles_vs,-1.0244
pressures,-1.5351
pressure_regains,-1.4124
clearances,2.0926
errors,-0.376
aerials_won,0.4863
aerials_lost,-0.3223
ball_recoveries,0.8022
pens_conceded,-0.3183
fouls,1.3511
cards_yellow_red,-0.1907
