position,DM
minutes,326.0
passes_completed,-0.1101
passes,-0.1505
dribbles_completed,-0.6338
dribbles,-0.8931
passes_completed_short,-0.9156
passes_short,-0.8581
passes_completed_medium,0.5675
passes_medium,0.5073
passes_completed_long,0.0582
passes_long,0.0595
passes_total_distance,0.0825
passes_free_kicks,0.281
through_balls,-0.6322
passes_pressure,-1.1473
passes_switches,-1.0991
crosses,-1.1359
corner_kicks,-0.5567
passes_intercepted,0.0837
passes_blocked,-1.0593
dispossessed,-0.1652
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.7527
shots_on_target,-1.029
sca,-1.0068
gca,-1.0103
xg,-0.6928
crosses_into_penalty_area,-0.8508
passes_into_final_third,0.2349
passes_into_penalty_area,-0.0127
progressive_passes,1.3038
carry_progressive_distance,-1.2497
assisted_shots,-0.9992
fouled,-1.666
pens_won,-0.2937
tackles,1.2988
interceptions,1.8263
blocks,1.555
tackles_won,2.026
dribble_tackles,0.7555
dribbles_vs,0.2996
pressures,1.0792
pressure_regains,2.5421
clearances,0.8132
errors,-0.376
aerials_won,2.7532
aerials_lost,2.6881
ball_recoveries,2.1706
pens_conceded,-0.3183
fouls,0.6379
cards_yellow_red,-0.1907
