position,FW
passes_completed,-1.311
passes,-1.4562
dribbles_completed,0.3865
dribbles,0.5022
passes_completed_short,-0.877
passes_short,-0.8444
passes_completed_medium,-1.3055
passes_medium,-1.4045
passes_completed_long,-1.1751
passes_long,-1.425
passes_total_distance,-1.3419
passes_free_kicks,-0.9512
through_balls,-0.2089
passes_pressure,-0.8309
passes_switches,-0.9786
crosses,-0.0647
corner_kicks,-0.5423
passes_intercepted,-0.7026
passes_blocked,0.096
dispossessed,0.6292
goals,0.7303
assists,-0.0531
pens_made,-0.2418
pens_att,-0.271
shots_total,0.8396
shots_on_target,1.02
sca,0.1133
gca,0.5171
xg,1.318
crosses_into_penalty_area,-0.0586
passes_into_final_third,-1.2967
passes_into_penalty_area,-0.2805
progressive_passes,-1.5125
carry_progressive_distance,-0.3688
assisted_shots,-0.2377
fouled,0.4323
pens_won,0.0603
tackles,-1.4208
interceptions,-1.1064
blocks,-1.4118
tackles_won,-1.3397
dribble_tackles,-1.1606
dribbles_vs,-1.3752
pressures,-0.1245
pressure_regains,-0.1506
clearances,-0.5299
errors,-0.3758
aerials_won,0.3954
aerials_lost,0.89
ball_recoveries,-1.7328
pens_conceded,-0.3182
fouls,-0.4005
cards_yellow_red,-0.1906
