position,RW
minutes,323.0
passes_completed,-0.9434
passes,-0.6531
dribbles_completed,-0.321
dribbles,0.4314
passes_completed_short,-0.8526
passes_short,-0.7016
passes_completed_medium,-0.8819
passes_medium,-0.667
passes_completed_long,-0.43
passes_long,-0.2771
passes_total_distance,-0.7334
passes_free_kicks,-0.6933
through_balls,-0.6322
passes_pressure,-2.41
passes_switches,0.6945
crosses,0.7026
corner_kicks,2.0883
passes_intercepted,0.7549
passes_blocked,1.7954
dispossessed,0.4771
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.453
shots_on_target,-0.3459
sca,1.2592
gca,1.469
xg,-0.6909
crosses_into_penalty_area,2.106
passes_into_final_third,0.2522
passes_into_penalty_area,1.7425
progressive_passes,0.2633
carry_progressive_distance,-0.1097
assisted_shots,2.2062
fouled,-0.1595
pens_won,-0.2937
tackles,0.0097
interceptions,0.1104
blocks,-0.5991
tackles_won,-0.3746
dribble_tackles,0.0379
dribbles_vs,-1.3174
pressures,-0.4164
pressure_regains,-1.4314
clearances,-0.8477
errors,-0.376
aerials_won,-1.1372
aerials_lost,-1.3278
ball_recoveries,-0.2173
pens_conceded,-0.3183
fouls,0.6629
cards_yellow_red,-0.1907
