position,CM
passes_completed,0.2054
passes,-0.0083
dribbles_completed,-0.2501
dribbles,-0.3432
passes_completed_short,0.0469
passes_short,0.0097
passes_completed_medium,0.2945
passes_medium,0.1581
passes_completed_long,0.0305
passes_long,-0.272
passes_total_distance,0.1286
passes_free_kicks,-0.5774
through_balls,-0.5363
passes_pressure,-0.2219
passes_switches,-0.3062
crosses,-0.9264
corner_kicks,-0.4808
passes_intercepted,0.1408
passes_blocked,-0.6601
dispossessed,-0.2454
goals,0.019
assists,-0.4477
pens_made,-0.2739
pens_att,-0.3089
shots_total,0.1519
shots_on_target,-0.2879
sca,-0.4669
gca,-0.0034
xg,-0.2606
crosses_into_penalty_area,-0.8365
passes_into_final_third,0.3753
passes_into_penalty_area,-0.7852
progressive_passes,0.1232
carry_progressive_distance,-0.0767
assisted_shots,-0.7421
fouled,0.5253
pens_won,-0.3695
tackles,0.483
interceptions,2.1569
blocks,-0.3304
tackles_won,0.8813
dribble_tackles,-0.0694
dribbles_vs,-0.1894
pressures,-0.1166
pressure_regains,0.1368
clearances,-0.2343
errors,0.8136
aerials_won,-0.3704
aerials_lost,-0.6065
ball_recoveries,1.1041
pens_conceded,-0.4415
fouls,0.5189
cards_yellow_red,-0.2618
