position,CM
minutes,1731.0
passes_completed,0.0561
passes,-0.1209
dribbles_completed,-0.2682
dribbles,-0.4923
passes_completed_short,-0.1341
passes_short,-0.2286
passes_completed_medium,0.2717
passes_medium,0.1705
passes_completed_long,-0.1662
passes_long,-0.3419
passes_total_distance,0.0556
passes_free_kicks,-0.5926
through_balls,-0.2637
passes_pressure,-0.4143
passes_switches,-0.3923
crosses,-1.0502
corner_kicks,-0.5567
passes_intercepted,0.458
passes_blocked,-0.7269
dispossessed,0.115
goals,-0.128
assists,-0.3545
pens_made,-0.2419
pens_att,-0.2711
shots_total,0.2566
shots_on_target,-0.3917
sca,-0.6243
gca,-0.3164
xg,-0.144
crosses_into_penalty_area,-0.8508
passes_into_final_third,0.4131
passes_into_penalty_area,-0.5761
progressive_passes,-0.0256
carry_progressive_distance,-0.3838
assisted_shots,-0.7236
fouled,0.3017
pens_won,-0.2937
tackles,0.4926
interceptions,2.7114
blocks,-0.4713
tackles_won,0.9823
dribble_tackles,0.3521
dribbles_vs,-0.322
pressures,-0.5678
pressure_regains,-0.4373
clearances,-0.4206
errors,-0.376
aerials_won,-0.4046
aerials_lost,-0.4094
ball_recoveries,1.0761
pens_conceded,-0.3183
fouls,0.2288
cards_yellow_red,-0.1907
