position,DM
minutes,2710.0
passes_completed,0.3209
passes,0.0868
dribbles_completed,-0.4371
dribbles,-0.5023
passes_completed_short,-0.0718
passes_short,-0.1483
passes_completed_medium,0.4108
passes_medium,0.2127
passes_completed_long,0.5618
passes_long,0.1824
passes_total_distance,0.3816
passes_free_kicks,-0.3167
through_balls,-0.6322
passes_pressure,-0.3884
passes_switches,-0.3631
crosses,-1.0812
corner_kicks,-0.5567
passes_intercepted,-0.2229
passes_blocked,-0.8957
dispossessed,-0.7384
goals,-0.153
assists,-0.5051
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.1082
shots_on_target,-0.5405
sca,-0.7358
gca,-0.1238
xg,-0.4616
crosses_into_penalty_area,-0.8508
passes_into_final_third,0.1648
passes_into_penalty_area,-1.1522
progressive_passes,-0.164
carry_progressive_distance,-0.1402
assisted_shots,-1.0141
fouled,0.5784
pens_won,-0.2937
tackles,0.3109
interceptions,1.9042
blocks,-0.5762
tackles_won,0.5448
dribble_tackles,-0.5584
dribbles_vs,-0.5279
pressures,-0.2709
pressure_regains,0.1792
clearances,0.1044
errors,1.0172
aerials_won,-0.2347
aerials_lost,-0.8102
ball_recoveries,1.4454
pens_conceded,-0.3183
fouls,0.5908
cards_yellow_red,-0.1907
