position,CB
passes_completed,0.4258
passes,0.1869
dribbles_completed,-1.0495
dribbles,-1.0636
passes_completed_short,-0.3718
passes_short,-0.5191
passes_completed_medium,0.8974
passes_medium,0.7605
passes_completed_long,0.5771
passes_long,0.2115
passes_total_distance,0.6277
passes_free_kicks,0.5821
through_balls,-0.7252
passes_pressure,-0.5773
passes_switches,-0.1089
crosses,-0.9329
corner_kicks,-0.4808
passes_intercepted,-1.0828
passes_blocked,-0.8836
dispossessed,-1.0875
goals,-0.5466
assists,-0.7095
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.7447
shots_on_target,-0.9103
sca,-1.2147
gca,-0.8998
xg,-0.5582
crosses_into_penalty_area,-0.7762
passes_into_final_third,-0.3184
passes_into_penalty_area,-1.0908
progressive_passes,-0.4873
carry_progressive_distance,-0.0082
assisted_shots,-1.0766
fouled,-0.6005
pens_won,-0.3695
tackles,0.3387
interceptions,0.3408
blocks,0.2672
tackles_won,0.2723
dribble_tackles,0.1861
dribbles_vs,-0.3417
pressures,-0.7607
pressure_regains,-0.5423
clearances,1.1104
errors,1.5437
aerials_won,0.038
aerials_lost,-0.4148
ball_recoveries,0.1024
pens_conceded,0.0052
fouls,0.3378
cards_yellow_red,0.5612
