position,RB
minutes,4565.0
passes_completed,1.5823
passes,1.9314
dribbles_completed,0.1701
dribbles,-0.0786
passes_completed_short,1.758
passes_short,1.8099
passes_completed_medium,1.2344
passes_medium,1.5615
passes_completed_long,0.7983
passes_long,1.0917
passes_total_distance,1.3781
passes_free_kicks,0.0713
through_balls,-0.0733
passes_pressure,0.9616
passes_switches,0.886
crosses,2.9619
corner_kicks,-0.4818
passes_intercepted,0.5455
passes_blocked,2.4228
dispossessed,-0.5225
goals,-0.724
assists,0.3352
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.8777
shots_on_target,-0.7873
sca,0.512
gca,0.3931
xg,-0.8345
crosses_into_penalty_area,2.6361
passes_into_final_third,0.7783
passes_into_penalty_area,2.7313
progressive_passes,2.0108
carry_progressive_distance,2.2424
assisted_shots,1.0679
fouled,-0.3869
pens_won,-0.2937
tackles,-0.569
interceptions,-0.5245
blocks,-0.0267
tackles_won,-0.5607
dribble_tackles,0.2851
dribbles_vs,-0.6745
pressures,-1.6311
pressure_regains,-1.471
clearances,0.6229
errors,0.4511
aerials_won,-0.5816
aerials_lost,-0.406
ball_recoveries,0.6185
pens_conceded,-0.3183
fouls,-1.3425
cards_yellow_red,-0.1907
