position,LM
minutes,1126.0
passes_completed,0.418
passes,0.3448
dribbles_completed,1.8411
dribbles,1.3856
passes_completed_short,1.1337
passes_short,1.0766
passes_completed_medium,-0.2324
passes_medium,-0.2495
passes_completed_long,0.0795
passes_long,-0.1286
passes_total_distance,0.1692
passes_free_kicks,0.1097
through_balls,1.0672
passes_pressure,1.334
passes_switches,0.66
crosses,0.3804
corner_kicks,1.416
passes_intercepted,-0.7336
passes_blocked,0.0015
dispossessed,0.5752
goals,2.0247
assists,1.1514
pens_made,1.659
pens_att,2.9064
shots_total,0.2681
shots_on_target,0.9303
sca,2.0811
gca,1.8345
xg,1.406
crosses_into_penalty_area,1.1283
passes_into_final_third,-0.6958
passes_into_penalty_area,1.6922
progressive_passes,0.5032
carry_progressive_distance,1.1498
assisted_shots,1.704
fouled,0.1706
pens_won,-0.2937
tackles,-1.307
interceptions,-0.1333
blocks,-0.4665
tackles_won,-1.2773
dribble_tackles,-1.2262
dribbles_vs,-0.9389
pressures,-0.2009
pressure_regains,-0.1138
clearances,-0.5823
errors,-0.376
aerials_won,-0.6545
aerials_lost,-0.1651
ball_recoveries,-1.2688
pens_conceded,-0.3183
fouls,-1.0093
cards_yellow_red,-0.1907
