position,CB
passes_completed,0.8957
passes,0.7387
dribbles_completed,-0.8282
dribbles,-0.874
passes_completed_short,-1.0868
passes_short,-1.1431
passes_completed_medium,1.4588
passes_medium,1.3775
passes_completed_long,2.8255
passes_long,1.6855
passes_total_distance,1.844
passes_free_kicks,1.3118
through_balls,-0.4049
passes_pressure,-0.4147
passes_switches,2.1433
crosses,-0.9676
corner_kicks,-0.4808
passes_intercepted,-0.584
passes_blocked,-0.919
dispossessed,-1.0524
goals,-0.4192
assists,-0.3323
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.6467
shots_on_target,-0.6484
sca,-1.0794
gca,-0.6137
xg,-0.3028
crosses_into_penalty_area,-0.8365
passes_into_final_third,0.3739
passes_into_penalty_area,-0.9928
progressive_passes,0.4266
carry_progressive_distance,0.5097
assisted_shots,-1.1063
fouled,-0.8777
pens_won,-0.3695
tackles,-0.0315
interceptions,-0.1024
blocks,0.2517
tackles_won,-0.1774
dribble_tackles,0.3108
dribbles_vs,0.0326
pressures,-1.0739
pressure_regains,-0.8319
clearances,2.2896
errors,0.9904
aerials_won,0.8173
aerials_lost,-0.3746
ball_recoveries,1.0511
pens_conceded,0.0511
fouls,-0.7114
cards_yellow_red,-0.2618
