position,DM
passes_completed,1.144
passes,1.1054
dribbles_completed,-1.2419
dribbles,-1.1609
passes_completed_short,0.5613
passes_short,0.7135
passes_completed_medium,1.187
passes_medium,0.9599
passes_completed_long,1.4499
passes_long,1.1403
passes_total_distance,1.3931
passes_free_kicks,-0.2852
through_balls,-0.632
passes_pressure,1.1308
passes_switches,1.2799
crosses,-0.6207
corner_kicks,-0.5565
passes_intercepted,1.069
passes_blocked,-0.2702
dispossessed,-0.1783
goals,-0.7238
assists,0.4801
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.017
shots_on_target,-0.6461
sca,-0.1593
gca,0.3784
xg,-0.2181
crosses_into_penalty_area,-0.8504
passes_into_final_third,1.3389
passes_into_penalty_area,-0.8194
progressive_passes,0.4426
carry_progressive_distance,-0.5091
assisted_shots,-0.4987
fouled,-0.8217
pens_won,-0.2935
tackles,0.2479
interceptions,-0.0055
blocks,-0.8785
tackles_won,0.3473
dribble_tackles,-0.1977
dribbles_vs,0.2297
pressures,0.9438
pressure_regains,-0.128
clearances,-0.8272
errors,-0.3758
aerials_won,-0.8227
aerials_lost,-0.3546
ball_recoveries,0.6806
pens_conceded,-0.3182
fouls,-0.7805
cards_yellow_red,-0.1906
