position,RM
minutes,-0.4412
passes_completed,0.9008
passes,0.8053
dribbles_completed,0.8647
dribbles,0.7092
passes_completed_short,0.87
passes_short,0.7568
passes_completed_medium,0.6451
passes_medium,0.699
passes_completed_long,0.8974
passes_long,0.518
passes_total_distance,0.9274
passes_free_kicks,-0.5469
through_balls,0.7939
passes_pressure,-0.3328
passes_switches,1.8382
crosses,1.7684
corner_kicks,-0.461
passes_intercepted,0.9726
passes_blocked,-0.6898
dispossessed,0.8625
goals,-0.1472
assists,2.4555
pens_made,-0.2418
pens_att,-0.271
shots_total,0.4707
shots_on_target,-0.2888
sca,1.3405
gca,0.7802
xg,0.2656
crosses_into_penalty_area,3.4194
passes_into_final_third,0.4088
passes_into_penalty_area,2.6256
progressive_passes,1.4885
carry_progressive_distance,2.0558
assisted_shots,1.2055
fouled,1.8696
pens_won,-0.2935
tackles,0.2939
interceptions,-0.3748
blocks,-0.2945
tackles_won,-0.0765
dribble_tackles,0.4274
dribbles_vs,1.2215
pressures,-0.2856
pressure_regains,-0.9783
clearances,-0.7123
errors,-0.3758
aerials_won,-0.428
aerials_lost,-0.7002
ball_recoveries,-0.1351
pens_conceded,-0.3182
fouls,-0.089
cards_yellow_red,-0.1906
