position,LM
minutes,-0.7715
passes_completed,0.6512
passes,1.0732
dribbles_completed,0.693
dribbles,1.1113
passes_completed_short,1.46
passes_short,1.8365
passes_completed_medium,0.2295
passes_medium,0.391
passes_completed_long,-0.4495
passes_long,0.2691
passes_total_distance,0.2224
passes_free_kicks,-0.4298
through_balls,1.1454
passes_pressure,-0.0681
passes_switches,1.0234
crosses,0.5193
corner_kicks,3.2525
passes_intercepted,1.6701
passes_blocked,1.43
dispossessed,0.2885
goals,2.151
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,1.0484
shots_on_target,2.0451
sca,1.7795
gca,0.1058
xg,0.9111
crosses_into_penalty_area,0.0366
passes_into_final_third,-0.3962
passes_into_penalty_area,2.6146
progressive_passes,0.8357
carry_progressive_distance,0.7999
assisted_shots,2.5669
fouled,-0.9874
pens_won,-0.2935
tackles,-1.0779
interceptions,-0.5881
blocks,-0.3791
tackles_won,-0.9585
dribble_tackles,-1.4373
dribbles_vs,-1.382
pressures,-0.0514
pressure_regains,0.0697
clearances,-0.7131
errors,-0.3758
aerials_won,-0.8844
aerials_lost,-1.3273
ball_recoveries,-0.0334
pens_conceded,-0.3182
fouls,-1.6378
cards_yellow_red,-0.1906
