position,CM
passes_completed,-0.6776
passes,-0.4928
dribbles_completed,-0.497
dribbles,-0.5037
passes_completed_short,-0.4896
passes_short,-0.2893
passes_completed_medium,-0.7758
passes_medium,-0.7062
passes_completed_long,-0.6143
passes_long,-0.3649
passes_total_distance,-0.7591
passes_free_kicks,-0.3128
through_balls,0.4324
passes_pressure,-0.3145
passes_switches,-0.429
crosses,0.1032
corner_kicks,0.3702
passes_intercepted,0.4312
passes_blocked,-0.1108
dispossessed,0.0303
goals,-0.7238
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.3044
shots_on_target,-0.4764
sca,-0.5817
gca,-0.6759
xg,-0.5671
crosses_into_penalty_area,-0.3192
passes_into_final_third,-0.0611
passes_into_penalty_area,-0.8377
progressive_passes,-0.6138
carry_progressive_distance,-0.8561
assisted_shots,-0.5323
fouled,-0.7519
pens_won,-0.2935
tackles,0.4313
interceptions,-0.3808
blocks,0.2466
tackles_won,0.5279
dribble_tackles,-0.443
dribbles_vs,0.147
pressures,1.2156
pressure_regains,0.3103
clearances,-0.1108
errors,-0.3758
aerials_won,0.4504
aerials_lost,-0.235
ball_recoveries,0.4622
pens_conceded,-0.3182
fouls,1.4826
cards_yellow_red,-0.1906
