position,RW
minutes,2087.0
passes_completed,-0.3225
passes,-0.124
dribbles_completed,1.7046
dribbles,1.8582
passes_completed_short,0.3225
passes_short,0.4732
passes_completed_medium,-0.6321
passes_medium,-0.4595
passes_completed_long,-0.5869
passes_long,-0.3774
passes_total_distance,-0.5527
passes_free_kicks,-0.8694
through_balls,0.5903
passes_pressure,-0.0809
passes_switches,-0.1938
crosses,2.2787
corner_kicks,-0.4339
passes_intercepted,0.8717
passes_blocked,1.4081
dispossessed,1.4646
goals,0.5118
assists,3.0325
pens_made,-0.2419
pens_att,-0.2711
shots_total,2.5354
shots_on_target,2.1424
sca,1.2593
gca,1.6757
xg,1.5876
crosses_into_penalty_area,2.3525
passes_into_final_third,-0.8072
passes_into_penalty_area,2.1317
progressive_passes,0.2081
carry_progressive_distance,1.798
assisted_shots,1.5774
fouled,-0.2671
pens_won,0.729
tackles,-0.4889
interceptions,-0.4653
blocks,-0.3852
tackles_won,-0.4035
dribble_tackles,-0.1816
dribbles_vs,0.0049
pressures,0.4203
pressure_regains,0.927
clearances,-0.8078
errors,-0.376
aerials_won,-1.007
aerials_lost,-0.835
ball_recoveries,-0.6485
pens_conceded,-0.3183
fouls,0.3298
cards_yellow_red,-0.1907
