position,FW
passes_completed,-1.0413
passes,-1.2236
dribbles_completed,1.0512
dribbles,1.3546
passes_completed_short,-0.5432
passes_short,-0.4699
passes_completed_medium,-1.0221
passes_medium,-1.0735
passes_completed_long,-1.0372
passes_long,-1.199
passes_total_distance,-1.1703
passes_free_kicks,-1.0491
through_balls,-0.062
passes_pressure,-0.6479
passes_switches,-0.6569
crosses,0.1417
corner_kicks,-0.4808
passes_intercepted,0.3
passes_blocked,0.1313
dispossessed,1.1543
goals,2.3734
assists,0.6198
pens_made,0.9981
pens_att,1.1254
shots_total,1.7928
shots_on_target,2.5196
sca,0.7356
gca,1.0197
xg,2.6325
crosses_into_penalty_area,-0.0655
passes_into_final_third,-1.0714
passes_into_penalty_area,0.0229
progressive_passes,-0.9265
carry_progressive_distance,0.4317
assisted_shots,0.3675
fouled,-0.2253
pens_won,1.361
tackles,-1.2985
interceptions,-0.8888
blocks,-1.3965
tackles_won,-1.2526
dribble_tackles,-1.1301
dribbles_vs,-1.1493
pressures,-0.0491
pressure_regains,-0.3863
clearances,-0.9188
errors,-0.5457
aerials_won,-0.5969
aerials_lost,-0.0283
ball_recoveries,-1.7194
pens_conceded,-0.0334
fouls,-0.431
cards_yellow_red,-0.2618
