position,WB
passes_completed,1.2109
passes,1.8173
dribbles_completed,-0.7543
dribbles,-0.7422
passes_completed_short,0.4767
passes_short,0.6135
passes_completed_medium,1.3463
passes_medium,1.5498
passes_completed_long,1.4591
passes_long,2.5234
passes_total_distance,1.3556
passes_free_kicks,0.9359
through_balls,0.9358
passes_pressure,1.2833
passes_switches,0.8567
crosses,1.51
corner_kicks,0.8084
passes_intercepted,0.7356
passes_blocked,1.5258
dispossessed,-1.0389
goals,-0.7238
assists,2.7766
pens_made,-0.2418
pens_att,-0.271
shots_total,-1.1016
shots_on_target,-1.0285
sca,0.744
gca,1.4504
xg,-0.8908
crosses_into_penalty_area,1.1057
passes_into_final_third,0.6113
passes_into_penalty_area,1.2872
progressive_passes,1.4869
carry_progressive_distance,-0.6424
assisted_shots,0.9877
fouled,-0.6189
pens_won,-0.2935
tackles,1.4354
interceptions,-0.018
blocks,2.3441
tackles_won,0.8722
dribble_tackles,0.613
dribbles_vs,0.629
pressures,-0.2625
pressure_regains,0.1558
clearances,0.8498
errors,-0.3758
aerials_won,0.3105
aerials_lost,-0.293
ball_recoveries,0.9912
pens_conceded,-0.3182
fouls,-0.611
cards_yellow_red,-0.1906
