position,FW
minutes,1.139
passes_completed,0.1255
passes,0.2706
dribbles_completed,0.0695
dribbles,0.0198
passes_completed_short,0.7107
passes_short,0.9159
passes_completed_medium,-0.2822
passes_medium,-0.0756
passes_completed_long,-0.4134
passes_long,-0.3864
passes_total_distance,-0.1795
passes_free_kicks,-0.5789
through_balls,-0.5
passes_pressure,1.4831
passes_switches,-0.2698
crosses,-0.3698
corner_kicks,-0.3242
passes_intercepted,0.1001
passes_blocked,0.2247
dispossessed,1.0033
goals,3.0869
assists,-0.3472
pens_made,-0.2258
pens_att,-0.2444
shots_total,2.7694
shots_on_target,2.7734
sca,0.6311
gca,0.2114
xg,2.8625
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.1486
passes_into_penalty_area,0.0199
progressive_passes,-0.2006
carry_progressive_distance,-0.623
assisted_shots,0.482
fouled,0.8801
pens_won,0.7686
tackles,0.2596
interceptions,0.0519
blocks,0.0433
tackles_won,0.1633
dribble_tackles,-0.0526
dribbles_vs,0.0285
pressures,1.3508
pressure_regains,1.1381
clearances,-0.1176
errors,-0.5331
aerials_won,6.6309
aerials_lost,4.8318
ball_recoveries,0.1311
pens_conceded,2.0027
fouls,3.3017
cards_yellow_red,-0.3235
