position,CB
minutes,0.6752
passes_completed,1.4809
passes,1.2467
dribbles_completed,-0.802
dribbles,-0.9737
passes_completed_short,0.5547
passes_short,0.2758
passes_completed_medium,1.9019
passes_medium,1.8437
passes_completed_long,1.0098
passes_long,0.7356
passes_total_distance,1.5357
passes_free_kicks,2.314
through_balls,-0.632
passes_pressure,-0.1052
passes_switches,0.2801
crosses,-1.0806
corner_kicks,-0.5565
passes_intercepted,-0.3757
passes_blocked,-0.9906
dispossessed,-1.0003
goals,-0.3425
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.7733
shots_on_target,-0.5394
sca,-1.3271
gca,-0.566
xg,-0.7474
crosses_into_penalty_area,-0.8504
passes_into_final_third,0.4738
passes_into_penalty_area,-1.0474
progressive_passes,0.7349
carry_progressive_distance,0.7545
assisted_shots,-1.3473
fouled,0.6272
pens_won,-0.2935
tackles,0.2362
interceptions,-0.1069
blocks,0.1593
tackles_won,0.0837
dribble_tackles,0.5003
dribbles_vs,-0.2512
pressures,-1.3571
pressure_regains,-1.0594
clearances,1.3482
errors,-0.3758
aerials_won,0.9388
aerials_lost,0.055
ball_recoveries,0.8592
pens_conceded,0.5942
fouls,-0.0511
cards_yellow_red,-0.1906
