position,CM
passes_completed,0.321
passes,0.0834
dribbles_completed,-0.5149
dribbles,-0.6603
passes_completed_short,-0.2975
passes_short,-0.3734
passes_completed_medium,0.6621
passes_medium,0.5096
passes_completed_long,0.3351
passes_long,-0.0622
passes_total_distance,0.4136
passes_free_kicks,-0.299
through_balls,-0.2981
passes_pressure,-0.5478
passes_switches,0.0692
crosses,-0.9412
corner_kicks,-0.5565
passes_intercepted,-0.2005
passes_blocked,-1.2456
dispossessed,-0.508
goals,-0.7238
assists,-0.0155
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.3899
shots_on_target,-0.3356
sca,-0.3788
gca,0.4572
xg,-0.4846
crosses_into_penalty_area,-0.6838
passes_into_final_third,0.5687
passes_into_penalty_area,-0.8654
progressive_passes,-0.1251
carry_progressive_distance,-0.5652
assisted_shots,-0.9214
fouled,-0.5828
pens_won,-0.2935
tackles,1.6563
interceptions,0.6289
blocks,0.6862
tackles_won,1.7069
dribble_tackles,0.4341
dribbles_vs,1.2963
pressures,1.5856
pressure_regains,1.9305
clearances,-0.3059
errors,-0.3758
aerials_won,-0.1409
aerials_lost,0.1412
ball_recoveries,0.8356
pens_conceded,0.9742
fouls,0.3213
cards_yellow_red,-0.1906
