position,CB
passes_completed,1.0053
passes,0.7087
dribbles_completed,-0.8971
dribbles,-1.0547
passes_completed_short,-0.4985
passes_short,-0.715
passes_completed_medium,1.5029
passes_medium,1.2547
passes_completed_long,2.2591
passes_long,1.6644
passes_total_distance,1.5469
passes_free_kicks,0.3072
through_balls,-0.632
passes_pressure,-0.8847
passes_switches,0.3482
crosses,-1.1355
corner_kicks,-0.5565
passes_intercepted,-0.977
passes_blocked,-1.1339
dispossessed,-1.202
goals,-0.7238
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.8067
shots_on_target,-0.7218
sca,-1.3225
gca,-0.4532
xg,-0.666
crosses_into_penalty_area,-0.8504
passes_into_final_third,0.0614
passes_into_penalty_area,-1.1117
progressive_passes,-0.3333
carry_progressive_distance,0.4539
assisted_shots,-1.2154
fouled,-0.3123
pens_won,-0.2935
tackles,0.0311
interceptions,0.718
blocks,0.0102
tackles_won,-0.4133
dribble_tackles,0.2195
dribbles_vs,0.0879
pressures,-1.2714
pressure_regains,-1.0451
clearances,0.8687
errors,0.9365
aerials_won,-0.8219
aerials_lost,-0.8072
ball_recoveries,0.735
pens_conceded,3.1146
fouls,-0.4228
cards_yellow_red,-0.1906
