position,LW
minutes,1185.0
passes_completed,-0.8116
passes,-0.8501
dribbles_completed,1.6038
dribbles,2.3852
passes_completed_short,-0.3624
passes_short,-0.476
passes_completed_medium,-0.9693
passes_medium,-1.0056
passes_completed_long,-0.8237
passes_long,-0.7349
passes_total_distance,-0.9629
passes_free_kicks,-0.4843
through_balls,-0.6322
passes_pressure,0.1923
passes_switches,-0.3372
crosses,0.3675
corner_kicks,0.1643
passes_intercepted,0.1006
passes_blocked,0.6846
dispossessed,2.0233
goals,1.0172
assists,-0.1624
pens_made,1.5644
pens_att,1.2386
shots_total,1.1507
shots_on_target,0.6466
sca,0.7237
gca,0.6791
xg,0.9097
crosses_into_penalty_area,-0.0448
passes_into_final_third,-1.1146
passes_into_penalty_area,-0.4765
progressive_passes,-1.0363
carry_progressive_distance,1.0977
assisted_shots,0.3497
fouled,0.3871
pens_won,1.5073
tackles,-0.1712
interceptions,-0.0494
blocks,0.0367
tackles_won,-0.5082
dribble_tackles,-0.2311
dribbles_vs,-0.4545
pressures,0.1781
pressure_regains,0.3959
clearances,-0.6954
errors,-0.376
aerials_won,0.0859
aerials_lost,0.8029
ball_recoveries,-0.9656
pens_conceded,-0.3183
fouls,2.0145
cards_yellow_red,-0.1907
