position,CB
minutes,2.0042
passes_completed,3.2649
passes,3.0604
dribbles_completed,0.4724
dribbles,0.3396
passes_completed_short,2.0334
passes_short,1.9056
passes_completed_medium,4.0429
passes_medium,3.8508
passes_completed_long,2.9808
passes_long,2.5838
passes_total_distance,3.4868
passes_free_kicks,2.7776
through_balls,2.0619
passes_pressure,1.9522
passes_switches,2.339
crosses,-0.3516
corner_kicks,-0.3242
passes_intercepted,0.9739
passes_blocked,0.5237
dispossessed,0.2582
goals,0.4506
assists,-0.1163
pens_made,-0.2258
pens_att,-0.2444
shots_total,0.2798
shots_on_target,0.1958
sca,-0.0013
gca,-0.2094
xg,-0.0313
crosses_into_penalty_area,-0.3669
passes_into_final_third,2.4667
passes_into_penalty_area,-0.1325
progressive_passes,1.3664
carry_progressive_distance,3.2277
assisted_shots,-0.3167
fouled,1.515
pens_won,-0.3681
tackles,3.0648
interceptions,3.1149
blocks,2.5963
tackles_won,3.0171
dribble_tackles,2.3003
dribbles_vs,1.8784
pressures,1.3163
pressure_regains,1.7151
clearances,3.825
errors,1.8167
aerials_won,3.0601
aerials_lost,1.5468
ball_recoveries,2.7386
pens_conceded,5.7402
fouls,1.6083
cards_yellow_red,-0.3235
