position,CM
minutes,361.0
passes_completed,-0.5065
passes,-0.2655
dribbles_completed,-0.418
dribbles,-0.5916
passes_completed_short,-1.1981
passes_short,-0.9205
passes_completed_medium,0.0022
passes_medium,-0.0413
passes_completed_long,-0.2764
passes_long,0.0659
passes_total_distance,-0.3384
passes_free_kicks,0.4488
through_balls,-0.6322
passes_pressure,0.2254
passes_switches,0.7416
crosses,-0.9303
corner_kicks,0.6266
passes_intercepted,-0.1045
passes_blocked,1.774
dispossessed,-0.0042
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,0.7706
shots_on_target,-0.4178
sca,-0.8697
gca,-1.0103
xg,0.3628
crosses_into_penalty_area,-0.8508
passes_into_final_third,0.8185
passes_into_penalty_area,-0.5282
progressive_passes,0.818
carry_progressive_distance,-1.1376
assisted_shots,-1.0376
fouled,0.6928
pens_won,-0.2937
tackles,4.8185
interceptions,0.9691
blocks,0.0003
tackles_won,6.4475
dribble_tackles,-0.1174
dribbles_vs,3.0107
pressures,4.5138
pressure_regains,5.7791
clearances,-0.8654
errors,4.8532
aerials_won,-0.1335
aerials_lost,0.4855
ball_recoveries,1.1286
pens_conceded,-0.3183
fouls,2.3968
cards_yellow_red,-0.1907
