position,WB
minutes,379.0
passes_completed,-0.7062
passes,-0.1767
dribbles_completed,-0.7189
dribbles,-0.4629
passes_completed_short,-0.437
passes_short,-0.1423
passes_completed_medium,-0.6336
passes_medium,-0.2143
passes_completed_long,-0.8508
passes_long,-0.5073
passes_total_distance,-0.7651
passes_free_kicks,-1.022
through_balls,-0.6322
passes_pressure,0.6625
passes_switches,-1.3948
crosses,0.0392
corner_kicks,-0.5567
passes_intercepted,-0.1878
passes_blocked,4.721
dispossessed,-0.6087
goals,0.637
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-1.085
shots_on_target,-0.4469
sca,-1.2933
gca,-1.0103
xg,0.6444
crosses_into_penalty_area,-0.0108
passes_into_final_third,-0.4622
passes_into_penalty_area,-0.5652
progressive_passes,0.2247
carry_progressive_distance,-1.3487
assisted_shots,-0.7135
fouled,-1.0241
pens_won,-0.2937
tackles,-0.0016
interceptions,-0.6444
blocks,0.6353
tackles_won,-0.1753
dribble_tackles,-0.809
dribbles_vs,-1.4142
pressures,-0.9332
pressure_regains,-1.0241
clearances,0.4145
errors,-0.376
aerials_won,1.4921
aerials_lost,0.6461
ball_recoveries,-0.9681
pens_conceded,-0.3183
fouls,-0.1219
cards_yellow_red,-0.1907
