position,DM
minutes,-0.3174
passes_completed,0.5603
passes,0.403
dribbles_completed,1.2027
dribbles,0.9032
passes_completed_short,0.3672
passes_short,0.299
passes_completed_medium,0.6727
passes_medium,0.5499
passes_completed_long,0.2139
passes_long,0.17
passes_total_distance,0.4546
passes_free_kicks,-0.6339
through_balls,0.5324
passes_pressure,-0.5669
passes_switches,-0.1624
crosses,-0.7967
corner_kicks,-0.4785
passes_intercepted,0.6462
passes_blocked,-1.145
dispossessed,-0.0199
goals,-0.2529
assists,-0.1124
pens_made,-0.2418
pens_att,-0.271
shots_total,0.1395
shots_on_target,-0.2231
sca,-0.0124
gca,-0.6445
xg,-0.4776
crosses_into_penalty_area,-0.5599
passes_into_final_third,0.3377
passes_into_penalty_area,-0.4082
progressive_passes,0.0484
carry_progressive_distance,0.866
assisted_shots,-0.5692
fouled,-0.1109
pens_won,-0.2935
tackles,1.2402
interceptions,2.829
blocks,0.2324
tackles_won,1.181
dribble_tackles,0.0854
dribbles_vs,-0.7162
pressures,-1.0162
pressure_regains,-0.7364
clearances,0.3205
errors,-0.3758
aerials_won,-0.3099
aerials_lost,-0.7298
ball_recoveries,1.1721
pens_conceded,-0.3182
fouls,0.2176
cards_yellow_red,-0.1906
