position,CM
passes_completed,-0.3694
passes,-0.0508
dribbles_completed,0.2392
dribbles,0.857
passes_completed_short,-1.0572
passes_short,-1.0341
passes_completed_medium,-0.3881
passes_medium,-0.3627
passes_completed_long,1.5368
passes_long,2.0937
passes_total_distance,0.2897
passes_free_kicks,0.5639
through_balls,0.9553
passes_pressure,-0.7674
passes_switches,3.1636
crosses,0.3423
corner_kicks,2.6325
passes_intercepted,-0.807
passes_blocked,1.0776
dispossessed,0.6133
goals,-0.7238
assists,1.0248
pens_made,-0.2418
pens_att,-0.271
shots_total,2.6855
shots_on_target,2.2653
sca,1.7729
gca,0.9828
xg,0.3965
crosses_into_penalty_area,-0.0583
passes_into_final_third,0.845
passes_into_penalty_area,1.1443
progressive_passes,1.2439
carry_progressive_distance,0.8237
assisted_shots,1.4998
fouled,0.1509
pens_won,-0.2935
tackles,0.9476
interceptions,-0.232
blocks,-0.2379
tackles_won,1.6891
dribble_tackles,-0.2511
dribbles_vs,1.188
pressures,2.1539
pressure_regains,1.6635
clearances,-0.8803
errors,-0.3758
aerials_won,-0.6859
aerials_lost,0.3016
ball_recoveries,-0.1828
pens_conceded,-0.3182
fouls,1.583
cards_yellow_red,9.2733
