position,CM
minutes,-0.1032
passes_completed,-0.0911
passes,-0.0832
dribbles_completed,-0.2074
dribbles,-0.2086
passes_completed_short,-0.3073
passes_short,-0.3186
passes_completed_medium,-0.0163
passes_medium,-0.0367
passes_completed_long,0.2571
passes_long,0.2703
passes_total_distance,0.0231
passes_free_kicks,0.8227
through_balls,0.354
passes_pressure,-0.1388
passes_switches,0.5329
crosses,0.0672
corner_kicks,1.8119
passes_intercepted,-0.3368
passes_blocked,-0.3734
dispossessed,-0.4148
goals,-0.4721
assists,0.8072
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.4063
shots_on_target,-0.4744
sca,0.0674
gca,0.4217
xg,-0.4653
crosses_into_penalty_area,-0.4603
passes_into_final_third,0.1958
passes_into_penalty_area,-0.2544
progressive_passes,-0.0534
carry_progressive_distance,-0.3278
assisted_shots,0.2066
fouled,-0.2881
pens_won,-0.3681
tackles,-0.0604
interceptions,0.5861
blocks,0.4262
tackles_won,-0.1604
dribble_tackles,0.2148
dribbles_vs,0.5434
pressures,-0.0037
pressure_regains,-0.1739
clearances,0.1391
errors,-0.5331
aerials_won,-0.5662
aerials_lost,-0.4908
ball_recoveries,0.161
pens_conceded,-0.4889
fouls,0.1299
cards_yellow_red,-0.3235
