position,LB
passes_completed,0.4815
passes,0.6782
dribbles_completed,-0.2621
dribbles,-0.2786
passes_completed_short,1.0446
passes_short,1.1021
passes_completed_medium,0.2061
passes_medium,0.403
passes_completed_long,-0.4333
passes_long,-0.0501
passes_total_distance,0.1189
passes_free_kicks,-0.2686
through_balls,-0.4704
passes_pressure,0.274
passes_switches,-0.5153
crosses,1.158
corner_kicks,-0.4699
passes_intercepted,0.1198
passes_blocked,1.1963
dispossessed,-0.5631
goals,-0.7238
assists,-0.2228
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.8057
shots_on_target,-0.8609
sca,-0.3654
gca,-0.4015
xg,-0.8416
crosses_into_penalty_area,1.6488
passes_into_final_third,0.4557
passes_into_penalty_area,0.1897
progressive_passes,0.3674
carry_progressive_distance,0.6967
assisted_shots,0.0453
fouled,-0.6795
pens_won,0.2469
tackles,0.4867
interceptions,0.5078
blocks,0.3728
tackles_won,-0.0819
dribble_tackles,0.796
dribbles_vs,0.5472
pressures,-0.655
pressure_regains,-0.4097
clearances,0.0966
errors,-0.3758
aerials_won,-0.1044
aerials_lost,-0.7352
ball_recoveries,0.3144
pens_conceded,-0.3182
fouls,-0.4198
cards_yellow_red,-0.1906
