position,LW
minutes,-0.7296
passes_completed,-1.0918
passes,-1.036
dribbles_completed,-0.5447
dribbles,-0.2669
passes_completed_short,-1.2872
passes_short,-1.2761
passes_completed_medium,-0.8714
passes_medium,-0.7686
passes_completed_long,-0.3941
passes_long,-0.4947
passes_total_distance,-0.8392
passes_free_kicks,-1.0216
through_balls,3.8509
passes_pressure,-0.0234
passes_switches,-0.7167
crosses,0.4296
corner_kicks,-0.5565
passes_intercepted,-0.3743
passes_blocked,0.2899
dispossessed,0.4946
goals,-0.7238
assists,0.9196
pens_made,-0.2418
pens_att,-0.271
shots_total,0.4461
shots_on_target,1.0388
sca,-0.4808
gca,-0.0719
xg,-0.2848
crosses_into_penalty_area,1.387
passes_into_final_third,-0.4628
passes_into_penalty_area,0.671
progressive_passes,-0.0305
carry_progressive_distance,-0.7658
assisted_shots,0.4219
fouled,0.3295
pens_won,-0.2935
tackles,0.0282
interceptions,2.7719
blocks,2.29
tackles_won,-0.7295
dribble_tackles,0.7961
dribbles_vs,0.5072
pressures,1.3202
pressure_regains,0.2898
clearances,-0.5073
errors,-0.3758
aerials_won,0.561
aerials_lost,-0.451
ball_recoveries,-0.4987
pens_conceded,-0.3182
fouls,-0.3366
cards_yellow_red,-0.1906
