position,FW
passes_completed,-1.1118
passes,-1.1105
dribbles_completed,-0.5504
dribbles,-0.5229
passes_completed_short,-0.7809
passes_short,-0.6208
passes_completed_medium,-1.0707
passes_medium,-1.0661
passes_completed_long,-1.0405
passes_long,-1.1568
passes_total_distance,-1.1317
passes_free_kicks,-0.7903
through_balls,-0.0762
passes_pressure,-0.0594
passes_switches,-0.9742
crosses,-0.8444
corner_kicks,-0.5565
passes_intercepted,-0.8459
passes_blocked,-0.4336
dispossessed,0.2276
goals,0.8495
assists,-0.1422
pens_made,-0.2418
pens_att,-0.271
shots_total,2.019
shots_on_target,1.7589
sca,0.2302
gca,-0.1377
xg,1.6167
crosses_into_penalty_area,-0.573
passes_into_final_third,-0.4242
passes_into_penalty_area,-0.3876
progressive_passes,-0.6251
carry_progressive_distance,-1.4112
assisted_shots,0.0692
fouled,-0.6583
pens_won,-0.2935
tackles,-1.1329
interceptions,-1.0629
blocks,-0.6243
tackles_won,-1.0813
dribble_tackles,-1.1257
dribbles_vs,-0.6348
pressures,0.3977
pressure_regains,0.0666
clearances,0.0002
errors,-0.3758
aerials_won,1.9418
aerials_lost,2.5025
ball_recoveries,-1.3563
pens_conceded,-0.3182
fouls,-0.4564
cards_yellow_red,-0.1906
