position,WB
minutes,745.0
passes_completed,1.6488
passes,1.9775
dribbles_completed,-0.3103
dribbles,0.1239
passes_completed_short,2.9051
passes_short,3.0696
passes_completed_medium,0.9082
passes_medium,1.081
passes_completed_long,-0.4462
passes_long,-0.0235
passes_total_distance,0.8722
passes_free_kicks,-0.3093
through_balls,-0.6322
passes_pressure,1.2837
passes_switches,-0.2302
crosses,0.8569
corner_kicks,-0.5567
passes_intercepted,0.1245
passes_blocked,3.7778
dispossessed,-0.0477
goals,-0.724
assists,0.1973
pens_made,-0.2419
pens_att,-0.2711
shots_total,-1.0806
shots_on_target,-1.029
sca,-0.6008
gca,0.0646
xg,-0.6307
crosses_into_penalty_area,1.2858
passes_into_final_third,0.0765
passes_into_penalty_area,1.3371
progressive_passes,0.4968
carry_progressive_distance,-0.0142
assisted_shots,-0.1811
fouled,0.62
pens_won,-0.2937
tackles,0.4618
interceptions,-0.1219
blocks,2.2069
tackles_won,0.065
dribble_tackles,0.1617
dribbles_vs,0.016
pressures,-0.1741
pressure_regains,0.5153
clearances,1.1669
errors,2.1579
aerials_won,0.4436
aerials_lost,-0.1981
ball_recoveries,0.3425
pens_conceded,-0.3183
fouls,0.4987
cards_yellow_red,-0.1907
