position,CM
minutes,1.0877
passes_completed,0.955
passes,0.9691
dribbles_completed,0.9255
dribbles,0.9793
passes_completed_short,1.1295
passes_short,1.1017
passes_completed_medium,0.7431
passes_medium,0.7508
passes_completed_long,0.732
passes_long,0.7746
passes_total_distance,0.8509
passes_free_kicks,0.6752
through_balls,0.354
passes_pressure,0.9264
passes_switches,1.6457
crosses,1.706
corner_kicks,1.2226
passes_intercepted,1.0136
passes_blocked,1.022
dispossessed,0.9072
goals,0.4506
assists,1.9617
pens_made,-0.2258
pens_att,-0.2444
shots_total,0.5543
shots_on_target,0.5566
sca,1.346
gca,1.684
xg,0.1713
crosses_into_penalty_area,2.1542
passes_into_final_third,1.0613
passes_into_penalty_area,1.2393
progressive_passes,1.1413
carry_progressive_distance,0.8543
assisted_shots,1.3358
fouled,0.4483
pens_won,1.9053
tackles,0.4667
interceptions,0.9067
blocks,1.0645
tackles_won,0.6634
dribble_tackles,0.1613
dribbles_vs,0.5815
pressures,1.4416
pressure_regains,1.233
clearances,-0.1484
errors,0.2502
aerials_won,-0.1591
aerials_lost,0.3825
ball_recoveries,1.0762
pens_conceded,-0.4889
fouls,0.9363
cards_yellow_red,-0.3235
