position,WB
passes_completed,0.184
passes,0.073
dribbles_completed,1.0525
dribbles,0.8482
passes_completed_short,1.1128
passes_short,1.0607
passes_completed_medium,-0.0601
passes_medium,-0.0867
passes_completed_long,-1.2542
passes_long,-1.3717
passes_total_distance,-0.3392
passes_free_kicks,-1.0216
through_balls,1.2122
passes_pressure,1.3506
passes_switches,-0.5581
crosses,0.796
corner_kicks,-0.5565
passes_intercepted,-0.6371
passes_blocked,1.9336
dispossessed,0.9414
goals,-0.7238
assists,1.3154
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.5109
shots_on_target,-1.0285
sca,0.2214
gca,0.1477
xg,-0.7038
crosses_into_penalty_area,0.9904
passes_into_final_third,-1.307
passes_into_penalty_area,1.9481
progressive_passes,-0.7234
carry_progressive_distance,0.6815
assisted_shots,0.0998
fouled,-0.9619
pens_won,-0.2935
tackles,-0.7364
interceptions,-0.0046
blocks,0.5131
tackles_won,-0.0155
dribble_tackles,-0.7482
dribbles_vs,-0.748
pressures,1.0353
pressure_regains,1.2056
clearances,-0.7017
errors,-0.3758
aerials_won,-1.1368
aerials_lost,0.2949
ball_recoveries,-1.0605
pens_conceded,-0.3182
fouls,-1.2012
cards_yellow_red,-0.1906
