position,DM
passes_completed,0.115
passes,0.0263
dribbles_completed,-0.7549
dribbles,-0.9673
passes_completed_short,-0.1965
passes_short,-0.215
passes_completed_medium,0.2692
passes_medium,0.3172
passes_completed_long,0.2189
passes_long,-0.1217
passes_total_distance,0.1327
passes_free_kicks,-0.8913
through_balls,0.1509
passes_pressure,-1.3066
passes_switches,-0.5659
crosses,-1.0444
corner_kicks,-0.5565
passes_intercepted,0.2146
passes_blocked,-0.897
dispossessed,-1.0393
goals,0.5426
assists,0.1147
pens_made,-0.2418
pens_att,-0.271
shots_total,1.348
shots_on_target,2.2209
sca,-0.1548
gca,-0.5185
xg,0.776
crosses_into_penalty_area,-0.8504
passes_into_final_third,1.0148
passes_into_penalty_area,-1.3074
progressive_passes,-0.0043
carry_progressive_distance,-1.3198
assisted_shots,-0.4431
fouled,1.0221
pens_won,-0.2935
tackles,2.2158
interceptions,1.597
blocks,0.6019
tackles_won,2.0279
dribble_tackles,0.903
dribbles_vs,0.3661
pressures,0.2466
pressure_regains,0.4421
clearances,-0.0173
errors,-0.3758
aerials_won,0.7535
aerials_lost,-0.4091
ball_recoveries,1.831
pens_conceded,2.7123
fouls,1.5341
cards_yellow_red,-0.1906
