position,DM
passes_completed,0.7843
passes,0.7187
dribbles_completed,0.9731
dribbles,0.5482
passes_completed_short,0.8025
passes_short,0.8195
passes_completed_medium,0.4556
passes_medium,0.4071
passes_completed_long,0.8343
passes_long,0.4132
passes_total_distance,0.7024
passes_free_kicks,1.0334
through_balls,2.2165
passes_pressure,0.9795
passes_switches,-0.1027
crosses,-0.362
corner_kicks,0.7153
passes_intercepted,-0.2867
passes_blocked,0.0911
dispossessed,1.4664
goals,0.0441
assists,0.3032
pens_made,-0.2418
pens_att,-0.271
shots_total,0.9285
shots_on_target,0.2851
sca,1.3643
gca,0.7782
xg,0.5531
crosses_into_penalty_area,-0.3765
passes_into_final_third,1.0019
passes_into_penalty_area,0.5783
progressive_passes,1.6349
carry_progressive_distance,0.9498
assisted_shots,0.9139
fouled,0.5076
pens_won,-0.2935
tackles,0.4103
interceptions,0.6043
blocks,0.3877
tackles_won,-0.6642
dribble_tackles,0.3366
dribbles_vs,0.706
pressures,-0.1158
pressure_regains,-0.0792
clearances,-0.7731
errors,2.4343
aerials_won,-0.4625
aerials_lost,-0.3529
ball_recoveries,1.191
pens_conceded,-0.3182
fouls,0.9937
cards_yellow_red,-0.1906
