position,DM
minutes,-0.5656
passes_completed,-0.344
passes,-0.4335
dribbles_completed,-0.4088
dribbles,-0.4675
passes_completed_short,-0.3446
passes_short,-0.3922
passes_completed_medium,-0.2985
passes_medium,-0.3625
passes_completed_long,-0.3435
passes_long,-0.4501
passes_total_distance,-0.3493
passes_free_kicks,-0.1179
through_balls,-0.5
passes_pressure,-0.564
passes_switches,-0.288
crosses,-0.5701
corner_kicks,-0.3242
passes_intercepted,-0.7737
passes_blocked,-0.6475
dispossessed,-0.535
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.5239
shots_on_target,-0.526
sca,-0.565
gca,-0.525
xg,-0.4798
crosses_into_penalty_area,-0.4603
passes_into_final_third,-0.3812
passes_into_penalty_area,-0.5593
progressive_passes,-0.5989
carry_progressive_distance,-0.5318
assisted_shots,-0.6196
fouled,-0.3643
pens_won,-0.3681
tackles,-0.4935
interceptions,-0.3755
blocks,-0.2971
tackles_won,-0.484
dribble_tackles,-0.4804
dribbles_vs,-0.5627
pressures,-0.615
pressure_regains,-0.5928
clearances,-0.2511
errors,-0.5331
aerials_won,-0.3072
aerials_lost,-0.3244
ball_recoveries,-0.4554
pens_conceded,0.7569
fouls,-0.327
cards_yellow_red,-0.3235
