position,DM
passes_completed,1.1609
passes,1.4032
dribbles_completed,1.1518
dribbles,0.7837
passes_completed_short,0.9962
passes_short,0.9054
passes_completed_medium,0.8454
passes_medium,0.8725
passes_completed_long,1.1423
passes_long,1.4134
passes_total_distance,1.2045
passes_free_kicks,2.0851
through_balls,-0.2432
passes_pressure,1.6716
passes_switches,2.7334
crosses,0.2711
corner_kicks,2.6814
passes_intercepted,0.2576
passes_blocked,0.0348
dispossessed,0.5514
goals,-0.0947
assists,2.3815
pens_made,-0.2739
pens_att,0.994
shots_total,0.5259
shots_on_target,0.7968
sca,1.5149
gca,0.829
xg,-0.1699
crosses_into_penalty_area,-0.4363
passes_into_final_third,1.3453
passes_into_penalty_area,0.0581
progressive_passes,0.8707
carry_progressive_distance,0.6812
assisted_shots,1.7946
fouled,1.1012
pens_won,-0.3695
tackles,0.3078
interceptions,-0.1651
blocks,0.4506
tackles_won,0.4018
dribble_tackles,0.5919
dribbles_vs,0.8457
pressures,-0.1521
pressure_regains,-0.1869
clearances,-0.6457
errors,0.6103
aerials_won,-0.6017
aerials_lost,-0.7014
ball_recoveries,0.8159
pens_conceded,1.0414
fouls,0.7419
cards_yellow_red,2.4704
