position,CB
passes_completed,0.3151
passes,0.2054
dribbles_completed,-0.1999
dribbles,-0.3863
passes_completed_short,-0.5858
passes_short,-0.6942
passes_completed_medium,0.7554
passes_medium,0.6952
passes_completed_long,0.9124
passes_long,0.6565
passes_total_distance,0.7066
passes_free_kicks,-0.0222
through_balls,-0.4403
passes_pressure,0.1671
passes_switches,-0.1521
crosses,-0.9344
corner_kicks,-0.4808
passes_intercepted,-0.3187
passes_blocked,-1.2022
dispossessed,-0.7676
goals,0.4052
assists,-0.5523
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.4827
shots_on_target,-0.0834
sca,-0.9325
gca,-0.4238
xg,-0.342
crosses_into_penalty_area,-0.8365
passes_into_final_third,0.4401
passes_into_penalty_area,-1.0681
progressive_passes,0.051
carry_progressive_distance,0.4493
assisted_shots,-1.1489
fouled,-0.5401
pens_won,-0.3695
tackles,1.5454
interceptions,1.0551
blocks,0.9616
tackles_won,1.7089
dribble_tackles,0.886
dribbles_vs,0.0297
pressures,-0.6041
pressure_regains,-0.1277
clearances,1.8616
errors,0.8207
aerials_won,1.9701
aerials_lost,0.008
ball_recoveries,0.5061
pens_conceded,0.4348
fouls,-0.0254
cards_yellow_red,-0.2618
