position,FW
minutes,475.0
passes_completed,0.0303
passes,0.0323
dribbles_completed,0.0107
dribbles,-0.2404
passes_completed_short,0.493
passes_short,0.6757
passes_completed_medium,-0.089
passes_medium,-0.0289
passes_completed_long,-0.7158
passes_long,-0.8721
passes_total_distance,-0.19
passes_free_kicks,-0.5749
through_balls,4.7391
passes_pressure,1.2465
passes_switches,-0.7859
crosses,1.052
corner_kicks,0.5225
passes_intercepted,-0.5253
passes_blocked,0.624
dispossessed,0.515
goals,1.448
assists,3.7867
pens_made,-0.2419
pens_att,-0.2711
shots_total,0.6652
shots_on_target,1.2933
sca,1.7021
gca,2.3615
xg,0.8786
crosses_into_penalty_area,0.4897
passes_into_final_third,0.464
passes_into_penalty_area,2.248
progressive_passes,0.8563
carry_progressive_distance,0.6857
assisted_shots,2.1421
fouled,1.1511
pens_won,-0.2937
tackles,-1.2964
interceptions,0.3435
blocks,0.0317
tackles_won,-0.8424
dribble_tackles,-0.9361
dribbles_vs,0.2552
pressures,0.0872
pressure_regains,-0.5315
clearances,-1.0155
errors,-0.376
aerials_won,-0.9465
aerials_lost,-0.7372
ball_recoveries,-0.473
pens_conceded,-0.3183
fouls,1.0239
cards_yellow_red,-0.1907
