position,LW
passes_completed,-0.7801
passes,-0.4514
dribbles_completed,0.3086
dribbles,0.8295
passes_completed_short,-1.1767
passes_short,-1.0067
passes_completed_medium,-0.2678
passes_medium,-0.0638
passes_completed_long,-0.4186
passes_long,-0.1181
passes_total_distance,-0.4673
passes_free_kicks,-0.6897
through_balls,1.362
passes_pressure,0.5373
passes_switches,1.318
crosses,1.185
corner_kicks,-0.2894
passes_intercepted,0.1215
passes_blocked,3.4742
dispossessed,-0.1408
goals,0.8888
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,0.4475
shots_on_target,1.0404
sca,-0.3088
gca,0.2418
xg,-0.4865
crosses_into_penalty_area,-0.8504
passes_into_final_third,-0.7637
passes_into_penalty_area,2.2126
progressive_passes,0.2866
carry_progressive_distance,0.7909
assisted_shots,-0.991
fouled,0.6162
pens_won,-0.2935
tackles,-0.3033
interceptions,-1.0486
blocks,0.7457
tackles_won,-0.3596
dribble_tackles,1.5429
dribbles_vs,0.3437
pressures,-0.0537
pressure_regains,0.2461
clearances,-1.0151
errors,-0.3758
aerials_won,-0.8536
aerials_lost,-1.035
ball_recoveries,-1.8285
pens_conceded,-0.3182
fouls,0.6899
cards_yellow_red,11.6984
