position,RB
minutes,454.0
passes_completed,0.1309
passes,0.3799
dribbles_completed,-0.1499
dribbles,0.0756
passes_completed_short,0.5281
passes_short,0.5397
passes_completed_medium,-0.0875
passes_medium,0.1034
passes_completed_long,-0.1767
passes_long,0.4324
passes_total_distance,-0.0523
passes_free_kicks,-0.5542
through_balls,0.7727
passes_pressure,1.0337
passes_switches,0.5163
crosses,1.8072
corner_kicks,-0.1803
passes_intercepted,1.3952
passes_blocked,0.4497
dispossessed,-0.5175
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.9171
shots_on_target,-1.029
sca,0.09
gca,-1.0103
xg,-0.8911
crosses_into_penalty_area,1.9541
passes_into_final_third,-0.29
passes_into_penalty_area,0.5523
progressive_passes,0.3558
carry_progressive_distance,1.1764
assisted_shots,0.028
fouled,-0.3263
pens_won,-0.2937
tackles,0.8467
interceptions,-0.8085
blocks,0.4536
tackles_won,1.2837
dribble_tackles,1.187
dribbles_vs,0.1252
pressures,0.4595
pressure_regains,0.0984
clearances,1.9689
errors,3.782
aerials_won,0.06
aerials_lost,0.114
ball_recoveries,0.0029
pens_conceded,-0.3183
fouls,-0.7606
cards_yellow_red,-0.1907
