position,CB
passes_completed,-0.0594
passes,0.0559
dribbles_completed,-1.1133
dribbles,-1.0879
passes_completed_short,-0.89
passes_short,-0.944
passes_completed_medium,0.1506
passes_medium,0.2017
passes_completed_long,1.2728
passes_long,1.2386
passes_total_distance,0.4825
passes_free_kicks,0.1367
through_balls,-0.7252
passes_pressure,-0.4634
passes_switches,0.6191
crosses,-0.8606
corner_kicks,-0.4808
passes_intercepted,-0.6465
passes_blocked,-1.0041
dispossessed,-1.0991
goals,-0.5151
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.8483
shots_on_target,-0.7195
sca,-1.2847
gca,-1.0626
xg,-0.6487
crosses_into_penalty_area,-0.6964
passes_into_final_third,0.1661
passes_into_penalty_area,-0.8614
progressive_passes,-0.6324
carry_progressive_distance,-1.0729
assisted_shots,-1.1776
fouled,-0.5378
pens_won,-0.3695
tackles,-0.0143
interceptions,0.2619
blocks,0.9801
tackles_won,0.0575
dribble_tackles,-0.5081
dribbles_vs,-0.6572
pressures,-0.962
pressure_regains,-0.6602
clearances,1.8182
errors,-0.5457
aerials_won,0.7519
aerials_lost,-0.1708
ball_recoveries,1.7275
pens_conceded,-0.4415
fouls,-1.2581
cards_yellow_red,-0.2618
