position,LW
minutes,4309.0
passes_completed,0.0872
passes,-0.006
dribbles_completed,0.8065
dribbles,1.4915
passes_completed_short,1.3485
passes_short,1.317
passes_completed_medium,-0.5453
passes_medium,-0.5924
passes_completed_long,-1.122
passes_long,-1.2674
passes_total_distance,-0.5013
passes_free_kicks,-0.9974
through_balls,0.552
passes_pressure,0.9415
passes_switches,-1.1263
crosses,0.7074
corner_kicks,-0.3981
passes_intercepted,0.5903
passes_blocked,1.0312
dispossessed,1.5871
goals,2.8674
assists,0.401
pens_made,-0.2419
pens_att,0.5592
shots_total,1.8847
shots_on_target,2.0942
sca,1.4721
gca,1.6844
xg,3.0557
crosses_into_penalty_area,-0.1858
passes_into_final_third,-1.0505
passes_into_penalty_area,1.73
progressive_passes,-0.0905
carry_progressive_distance,1.5256
assisted_shots,0.8243
fouled,0.4231
pens_won,2.1828
tackles,-0.4611
interceptions,-0.8514
blocks,-0.8081
tackles_won,-0.3388
dribble_tackles,-0.6082
dribbles_vs,-0.9166
pressures,-0.3411
pressure_regains,0.012
clearances,-0.8898
errors,-0.376
aerials_won,-0.6116
aerials_lost,-0.2861
ball_recoveries,-0.8577
pens_conceded,-0.3183
fouls,-0.2858
cards_yellow_red,0.6919
