position,RB
minutes,352.0
passes_completed,0.7495
passes,1.1332
dribbles_completed,-0.6788
dribbles,-0.9207
passes_completed_short,0.6065
passes_short,0.8659
passes_completed_medium,0.6367
passes_medium,0.94
passes_completed_long,0.679
passes_long,1.0896
passes_total_distance,0.7358
passes_free_kicks,0.4864
through_balls,-0.6322
passes_pressure,0.3107
passes_switches,0.2485
crosses,-0.5033
corner_kicks,-0.5567
passes_intercepted,-0.6591
passes_blocked,0.0008
dispossessed,-0.2575
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.7958
shots_on_target,-0.4022
sca,-0.4343
gca,-1.0103
xg,-0.5237
crosses_into_penalty_area,0.0536
passes_into_final_third,-0.0594
passes_into_penalty_area,-0.5082
progressive_passes,2.2027
carry_progressive_distance,-1.2601
assisted_shots,-0.6612
fouled,-0.6292
pens_won,-0.2937
tackles,-0.1533
interceptions,-1.1029
blocks,0.4625
tackles_won,-0.495
dribble_tackles,-0.0837
dribbles_vs,-1.0708
pressures,-1.5798
pressure_regains,-1.0484
clearances,2.6798
errors,10.3498
aerials_won,2.9806
aerials_lost,1.0632
ball_recoveries,1.6987
pens_conceded,-0.3183
fouls,0.8539
cards_yellow_red,-0.1907
